statefip,State,Establishments: 1 to 4 employees,Establishments: 5 to 9 employees,Establishments: 10 to 19 employees,Establishments: 20 to 49 employees,Establishments: 50 to 99 employees,Establishments: 100 to 249 employees,Establishments: 250 to 499 employees,Establishments: 500 to 999 employees,"Establishments: 1,000 or more employees",pop,City,Suburb,Rural,White,Black,"American Indian, Eskimo, or Aleut",Asian or Pacific Islander,Other race,In armed forces,"Civilian labor force, employed","Civilian labor force, unemployed",Not in labor force,Less than 9th grade,"9th grade to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate degree,Bachelor's degree,Graduate or professional degree
45,South Carolina,42520,16872,9755,6448,2216,1275,413,169,75,3486703,1426739,478639,1581325,2406974,1039884,8246,22382,9217,64425,1603425,94673,906860,833557,612317,779976,466738,152769,267371,118811
46,South Dakota,12042,3992,2373,1380,443,197,49,9,7,696004,163986,183917,348101,637515,3258,50575,3123,1533,6238,321891,13983,174920,178515,76082,165597,106253,36317,57149,21313
47,Tennessee,59862,22884,14303,9786,3442,2137,554,215,109,4877185,2218007,751941,1907237,4048068,778035,10039,31839,9204,27260,2250842,154235,1367388,1221396,825026,1124920,694262,147227,359948,171964
48,Texas,215009,79133,48450,32475,10762,6175,1550,586,342,16986510,11372246,2262271,3351993,12774762,2021632,65877,319459,1804780,130783,7634279,584749,4306456,4314751,2540348,3166245,2781010,599253,1530893,673322
49,Utah,18779,7855,5006,3124,1019,572,139,56,36,1722850,1319551,179530,223769,1615845,11576,24283,33371,37775,7053,736059,41389,369538,407924,219641,295198,340842,81885,146222,61639
50,Vermont,11783,3863,2259,1271,411,184,46,12,10,562758,87088,94061,381609,555088,1951,1696,3215,808,673,283146,17600,133125,114032,66842,145000,74847,29278,59593,31929
51,Virginia,77589,31462,20115,12635,4469,2391,650,248,136,6187358,3829739,463704,1893915,4791739,1162994,15282,159053,58290,168579,3028362,142048,1504193,1315047,874835,1301592,970074,244546,676723,363602
53,Washington,72841,26264,16620,10612,3328,1682,373,121,78,4866692,3214738,503210,1148744,4308937,149801,81483,210958,115513,53896,2293961,139216,1243912,921266,581809,1023053,948628,278139,527835,221149
54,West Virginia,20806,7844,4601,2867,912,470,114,53,20,1793477,388840,259344,1145293,1725523,56295,2458,7459,1742,1805,671085,71142,660868,467443,311108,494645,209299,51003,96372,57062
55,Wisconsin,63840,24977,15899,10585,3770,2141,585,241,104,4891769,2464721,747235,1679813,4512523,244539,39387,53583,41737,4787,2386439,130799,1210873,1060460,618763,1313671,703212,250651,409555,174822
56,Wyoming,8687,3015,1589,930,251,132,21,4,1,453588,114138,180497,158953,427061,3606,9479,2806,10636,3874,207868,13112,107439,98977,56167,105303,82515,21464,38305,15982
