,Country,Region,Airways,Railways,Waterways,Energy,Carbon,Industrial
81,Zambia,Africa,11595000.0,3126.0,2250,11595000.0,6798000.0,4.18
82,Zimbabwe,Africa,11516000.0,3427.0,223,11516000.0,7902000.0,6.37
83,Ghana,Africa,11239000.0,947.0,1293,11239000.0,18093000.0,-0.8
84,Burma,East and Southeast Asia,10679000.0,5031.0,12800,10679000.0,31848000.0,-20.65
85,Bangladesh,South Asia,9917000.0,2460.0,8370,9917000.0,96180000.0,10.29
86,Senegal,Africa,9221000.0,906.0,1000,9221000.0,10696000.0,10.91
87,Benin,Africa,8468000.0,438.0,150,8468000.0,6903000.0,9.12
88,Nigeria,Africa,8466000.0,3798.0,8600,8466000.0,104494000.0,-0.47
89,Cote d'Ivoire,Africa,8225000.0,660.0,980,8225000.0,11880000.0,6.2
90,Mozambique,Africa,8107000.0,4787.0,460,8107000.0,7753000.0,-0.42
91,Sudan,Africa,8047000.0,7251.0,4068,8047000.0,17319000.0,-0.7
92,Mali,Africa,4396000.0,593.0,1800,4396000.0,5679000.0,1.01
93,Guinea,Africa,4133000.0,1086.0,1300,4133000.0,2981000.0,3.9
94,Togo,Africa,4113000.0,568.0,50,4113000.0,2244000.0,5.32
95,Tanzania,Africa,3334000.0,4097.0,1594,3334000.0,11491000.0,6.5
96,Uganda,Africa,2943000.0,1244.0,907,2943000.0,5841000.0,3.47
97,Madagascar,Africa,2307000.0,836.0,600,2307000.0,4218000.0,-21.56
98,Malawi,Africa,1809000.0,767.0,700,1809000.0,1542000.0,1.9
99,"Congo, Democratic Republic of the",Africa,1371000.0,4007.0,15000,1371000.0,2653000.0,7.78
